descripcion_normalizada,insumo_id,aprobado,decision,evidencia
GRANILLO CHOCOLATE SEMIAMARGO,,False,revisar,
GRANILLO MAGIC COLORS - VARIOS,,False,revisar,
GRANILLO MAGIC SPARKL,,False,revisar,
GRANILLO T.S,,False,revisar,
GRANILLO TURIN,,False,revisar,
GRANILLO TURIN BLANCO,,False,revisar,
GRANILLO TURIN LECHE,,False,revisar,
GRANILLO TURIN SEMI AMARGO,,False,revisar,
GUANTE ESTERIL-PAR (LATEX),,False,revisar,
GV A 10W L,,False,revisar,
GV AZUCAR,,False,revisar,
GV BARQ CH,,False,revisar,
GV DURAZNO,,False,revisar,
GV GLASS,,False,revisar,
H. VAINILLA 3L,,False,revisar,
HARINA,,False,revisar,
HARINA DE TRIGO,,False,revisar,
HARINA DE TRIGO SUELTA,,False,revisar,
HARINA PINA COLADA ESPIGA MIX,,False,revisar,
HARINA RED VELVET ESP,,False,revisar,
HARINA SELECTA,,False,revisar,
HARINA TRI,,False,revisar,
HARINA TRIGO,,False,revisar,
HOJA COMESTIBLE DE ORO (COLORES),,False,revisar,
HOJA DE ARROZ GRUESA,,False,revisar,
HOJAS DE ARROZ,,False,revisar,
HUE12PZCR,,False,revisar,
HUE1PZSAN,,False,revisar,
HUEVO,,False,revisar,
HUEVO AURRERA,,False,revisar,
HUEVO BLANCO,,False,revisar,
HUEVO BLANCO LOS ALTOS KILO,,False,revisar,
HUEVO BLANCO PZ,,False,revisar,
HUEVO BLANCO SAN JUAN,,False,revisar,
HUEVO BLANCO TEPA DE LINEA,,False,revisar,
HUEVO BLANCO TEPA KILO,,False,revisar,
HUEVO CALVARIO,,False,revisar,
HUEVO CRESTA ROJ,,False,revisar,
HUEVO SAN JUAN,,False,revisar,
IBERIA,,False,revisar,
IBERIA 200,,False,revisar,
IBERIA 90,,False,revisar,
ILEGIBLE (GLATEA),,False,revisar,
ILEGIBLE (ROODS),,False,revisar,
INCA MANTE,,False,revisar,
INIX CONTENEDOR HAM TRANS 14X14 25 PZ,,False,revisar,
INIX CONTENEDOR MANTECADAS,,False,revisar,
INIX CONTENEDOR MANTECADAS 25 PZ,,False,revisar,
INIX CONTENEDOR MULTIUSOS 25 PZ,,False,revisar,
JARABE TRES LECHES DULCERITO PURATOS,,False,revisar,
JUMEX COCO,,False,revisar,
KISS ALMENDRA,,False,revisar,
KISS LECHE,,False,revisar,
KISS ROSA,,False,revisar,
KISSES,,False,revisar,
KISSES LECHE,,False,revisar,
KISSES LECHE CHOC BL 807 GR,,False,revisar,
KISSES PLATEADOS,,False,revisar,
KISSES ROJO,,False,revisar,
KIT KAT 9 PZ,,False,revisar,
KRAFT PARME,,False,revisar,
LECHERA,,False,revisar,
LECHERA SUELTA,,False,revisar,
LETRERO,,False,revisar,
LISTON BOLAS DIF,,False,revisar,
LOCKER DESPENSERO CHOCOLATE,,False,revisar,
LONA DE 80X180 CM,,False,revisar,
LUNETA,,False,revisar,
LUNETA M&M'S GRANDE,,False,revisar,
LUNETA MINI M&M'S,,False,revisar,
MAIZENA160,,False,revisar,
MALV C/ CHOCOLATE 32 PZ COD,,False,revisar,
MANGA CHICA,,False,revisar,
MANGA DESECHABLE CHICA,,False,revisar,
MANGA FRESA PURA,,False,revisar,
MANGA N.12,,False,revisar,
MANGA P/ DECORAR COLOR VERDE ALEGR,,False,revisar,
MANGA PARA DECORAR COLOR VERDE,,False,revisar,
MANGAS,,False,revisar,
MANGAS CHICAS,,False,revisar,
MANTECA,,False,revisar,
MANTEQUILLA 1 KG GLORIA VERDE,,False,revisar,
MANTEQUILLA 225 G,,False,revisar,
MANTEQUILLA 225 G GLORIA,,False,revisar,
MANTEQUILLA 225GR GLORIA,,False,revisar,
MANTEQUILLA GLORIA,,False,revisar,
MANTEQUILLA GLORIA 22,,False,revisar,
MANTEQUILLA GLORIA VERDE,,False,revisar,
MANTEQUILLA SIN SAL,,False,revisar,
MARG245G,,False,revisar,
MARG245GR,,False,revisar,
MARIAN SURTIDO NAVIDENO 340G,,False,revisar,
MARIASDOR,,False,revisar,
MARS M&M MINI VIT 215.6G,,False,revisar,
MATIZADOR,,False,revisar,
MCADES DE SILICON,,False,revisar,
MINI M&M'S,,False,revisar,
